JobName,NNodes,MaxVMSize,AveVMSize,MaxVMSizeNode,MaxVMSizeTask,MaxRSS,MaxRSSNode,MaxRSSTask,AveCPU,CPUTime,CPUTimeRAW,Elapsed,Start,End,State,
10bs-24th-aminoacido,1,,,,,,,,,00:03:12,192,00:00:08,2022-11-18T12:49:50,2022-11-18T12:49:58,COMPLETED,
batch,1,300960K,300960K,sdumont3020,0,2540K,sdumont3020,0,00:00:00,00:03:12,192,00:00:08,2022-11-18T12:49:50,2022-11-18T12:49:58,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3020,0,2288K,sdumont3020,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T12:49:52,2022-11-18T12:49:58,COMPLETED,
10bs-24th-aminoacido,1,,,,,,,,,00:02:00,120,00:00:05,2022-11-18T12:49:54,2022-11-18T12:49:59,COMPLETED,
batch,1,300960K,300960K,sdumont3180,0,2544K,sdumont3180,0,00:00:00,00:02:00,120,00:00:05,2022-11-18T12:49:54,2022-11-18T12:49:59,COMPLETED,
raxmlHPC-HYBRID-AVX,1,303716K,303716K,sdumont3180,0,2288K,sdumont3180,0,00:00:00,00:02:00,120,00:00:05,2022-11-18T12:49:54,2022-11-18T12:49:59,COMPLETED,
10bs-24th-aminoacido,1,,,,,,,,,00:02:24,144,00:00:06,2022-11-18T12:49:54,2022-11-18T12:50:00,COMPLETED,
batch,1,235424K,235424K,sdumont3184,0,2528K,sdumont3184,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T12:49:54,2022-11-18T12:50:00,COMPLETED,
raxmlHPC-HYBRID-AVX,1,303716K,303716K,sdumont3184,0,2280K,sdumont3184,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T12:49:54,2022-11-18T12:50:00,COMPLETED,
10bs-24th-aminoacido,1,,,,,,,,,00:02:24,144,00:00:06,2022-11-18T12:49:55,2022-11-18T12:50:01,COMPLETED,
batch,1,300960K,300960K,sdumont3185,0,2544K,sdumont3185,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T12:49:55,2022-11-18T12:50:01,COMPLETED,
raxmlHPC-HYBRID-AVX,1,303716K,303716K,sdumont3185,0,2276K,sdumont3185,0,00:00:00,00:02:00,120,00:00:05,2022-11-18T12:49:55,2022-11-18T12:50:00,COMPLETED,
10bs-24th-aminoacido,1,,,,,,,,,00:02:00,120,00:00:05,2022-11-18T12:49:59,2022-11-18T12:50:04,COMPLETED,
batch,1,235424K,235424K,sdumont3020,0,2524K,sdumont3020,0,00:00:00,00:02:00,120,00:00:05,2022-11-18T12:49:59,2022-11-18T12:50:04,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3020,0,2292K,sdumont3020,0,00:00:00,00:02:00,120,00:00:05,2022-11-18T12:49:59,2022-11-18T12:50:04,COMPLETED,
100bs-24th-aminoacido,1,,,,,,,,,00:18:48,1128,00:00:47,2022-11-18T12:50:00,2022-11-18T12:50:47,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8220K,sdumont3180,0,00:00:00,00:18:48,1128,00:00:47,2022-11-18T12:50:00,2022-11-18T12:50:47,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767160K,1767160K,sdumont3180,0,47520K,sdumont3180,0,00:11:48,00:18:48,1128,00:00:47,2022-11-18T12:50:00,2022-11-18T12:50:47,COMPLETED,
100bs-24th-aminoacido,1,,,,,,,,,00:18:24,1104,00:00:46,2022-11-18T12:50:00,2022-11-18T12:50:46,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8236K,sdumont3184,0,00:00:00,00:18:24,1104,00:00:46,2022-11-18T12:50:00,2022-11-18T12:50:46,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767156K,1767156K,sdumont3184,0,47536K,sdumont3184,0,00:11:48,00:18:24,1104,00:00:46,2022-11-18T12:50:00,2022-11-18T12:50:46,COMPLETED,
100bs-24th-aminoacido,1,,,,,,,,,00:18:24,1104,00:00:46,2022-11-18T12:50:01,2022-11-18T12:50:47,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8224K,sdumont3185,0,00:00:00,00:18:24,1104,00:00:46,2022-11-18T12:50:01,2022-11-18T12:50:47,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767156K,1767156K,sdumont3185,0,47516K,sdumont3185,0,00:11:45,00:18:24,1104,00:00:46,2022-11-18T12:50:01,2022-11-18T12:50:47,COMPLETED,
100bs-24th-aminoacido,1,,,,,,,,,00:19:12,1152,00:00:48,2022-11-18T12:50:04,2022-11-18T12:50:52,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8244K,sdumont3020,0,00:00:00,00:19:12,1152,00:00:48,2022-11-18T12:50:04,2022-11-18T12:50:52,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767156K,1767156K,sdumont3020,0,47252K,sdumont3020,0,00:11:46,00:18:48,1128,00:00:47,2022-11-18T12:50:05,2022-11-18T12:50:52,COMPLETED,
100bs-24th-aminoacido,1,,,,,,,,,00:18:48,1128,00:00:47,2022-11-18T12:50:46,2022-11-18T12:51:33,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8248K,sdumont3184,0,00:00:00,00:18:48,1128,00:00:47,2022-11-18T12:50:46,2022-11-18T12:51:33,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767160K,1767160K,sdumont3184,0,47572K,sdumont3184,0,00:11:49,00:18:24,1104,00:00:46,2022-11-18T12:50:47,2022-11-18T12:51:33,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,02:59:12,10752,00:07:28,2022-11-18T12:50:47,2022-11-18T12:58:15,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8220K,sdumont3185,0,00:00:00,02:59:12,10752,00:07:28,2022-11-18T12:50:47,2022-11-18T12:58:15,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767172K,1767172K,sdumont3185,0,47676K,sdumont3185,0,02:47:42,02:58:48,10728,00:07:27,2022-11-18T12:50:48,2022-11-18T12:58:15,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,03:08:24,11304,00:07:51,2022-11-18T12:50:47,2022-11-18T12:58:38,COMPLETED,
batch,1,499428K,499428K,sdumont3186,0,8236K,sdumont3186,0,00:00:00,03:08:24,11304,00:07:51,2022-11-18T12:50:47,2022-11-18T12:58:38,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767172K,1767172K,sdumont3186,0,47668K,sdumont3186,0,02:59:42,03:08:24,11304,00:07:51,2022-11-18T12:50:47,2022-11-18T12:58:38,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,03:00:24,10824,00:07:31,2022-11-18T12:50:53,2022-11-18T12:58:24,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8232K,sdumont3020,0,00:00:00,03:00:24,10824,00:07:31,2022-11-18T12:50:53,2022-11-18T12:58:24,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767172K,1767172K,sdumont3020,0,47672K,sdumont3020,0,02:59:43,03:00:24,10824,00:07:31,2022-11-18T12:50:53,2022-11-18T12:58:24,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,03:05:36,11136,00:07:44,2022-11-18T12:51:33,2022-11-18T12:59:17,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8244K,sdumont3180,0,00:00:00,03:05:36,11136,00:07:44,2022-11-18T12:51:33,2022-11-18T12:59:17,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767168K,1767168K,sdumont3180,0,47676K,sdumont3180,0,02:59:32,03:05:36,11136,00:07:44,2022-11-18T12:51:33,2022-11-18T12:59:17,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,03:07:12,11232,00:07:48,2022-11-18T12:58:15,2022-11-18T13:06:03,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8232K,sdumont3184,0,00:00:00,03:07:12,11232,00:07:48,2022-11-18T12:58:15,2022-11-18T13:06:03,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767172K,1767172K,sdumont3184,0,47680K,sdumont3184,0,02:59:08,03:06:48,11208,00:07:47,2022-11-18T12:58:16,2022-11-18T13:06:03,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,06:07:12,22032,00:15:18,2022-11-18T12:58:24,2022-11-18T13:13:42,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8240K,sdumont3020,0,00:00:00,06:07:12,22032,00:15:18,2022-11-18T12:58:24,2022-11-18T13:13:42,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3020,0,47684K,sdumont3020,0,05:59:36,06:07:12,22032,00:15:18,2022-11-18T12:58:24,2022-11-18T13:13:42,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,06:16:00,22560,00:15:40,2022-11-18T12:58:38,2022-11-18T13:14:18,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8224K,sdumont3185,0,00:00:00,06:16:00,22560,00:15:40,2022-11-18T12:58:38,2022-11-18T13:14:18,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3185,0,47684K,sdumont3185,0,06:11:35,06:15:36,22536,00:15:39,2022-11-18T12:58:39,2022-11-18T13:14:18,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,05:58:48,21528,00:14:57,2022-11-18T12:59:18,2022-11-18T13:14:15,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8232K,sdumont3180,0,00:00:00,05:58:48,21528,00:14:57,2022-11-18T12:59:18,2022-11-18T13:14:15,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3180,0,47688K,sdumont3180,0,05:47:36,05:58:48,21528,00:14:57,2022-11-18T12:59:18,2022-11-18T13:14:15,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,06:02:24,21744,00:15:06,2022-11-18T13:06:03,2022-11-18T13:21:09,COMPLETED,
